State,Latitude,Longitude,Abbr
Wisconsin,44.5,-89.5,WI
West Virginia,39,-80.5,WV
Vermont,44,-72.699997,VT
Texas,31,-100,TX
South Dakota,44.5,-100,SD
Rhode Island,41.700001,-71.5,RI
Oregon,44,-120.5,OR
New York,43,-75,NY
New Hampshire,44,-71.5,NH
Nebraska,41.5,-100,NE
Kansas,38.5,-98,KS
Mississippi,33,-90,MS
Illinois,40,-89,IL
Delaware,39,-75.5,DE
Connecticut,41.599998,-72.699997,CT
Arkansas,34.799999,-92.199997,AR
"Indiana,",40.273502,-86.126976,IN
Missouri,38.573936,-92.60376,MO
Florida,27.994402,-81.760254,FL
Nevada,39.876019,-117.224121,NV
Maine,45.367584,-68.972168,ME
Michigan,44.182205,-84.506836,MI
Georgia,33.247875,-83.441162,GA
Hawaii,19.741755,-155.844437,HI
Alaska,66.160507,-153.369141,AK
Tennessee,35.860119,-86.660156,TN
Virginia,37.926868,-78.024902,VA
New Jersey,39.833851,-74.871826,NJ
Kentucky,37.839333,-84.27002,KY
North Dakota,47.650589,-100.437012,ND
Minnesota,46.39241,-94.63623,MN
Oklahoma,36.084621,-96.921387,OK
Montana,46.96526,-109.533691,MT
Washington State,47.751076,-120.740135,WA
Utah,39.41922,-111.950684,UT
Colorado,39.113014,-105.358887,CO
Ohio,40.367474,-82.996216,OH
Alabama,32.31823,-86.902298,AL
Iowa,42.032974,-93.581543,IA
New Mexico,34.307144,-106.018066,NM
South Carolina,33.836082,-81.163727,SC
Pennsylvania,41.203323,-77.194527,PA
Arizona,34.048927,-111.093735,AZ
Maryland,39.045753,-76.641273,MD
Massachusetts,42.407211,-71.382439,MA
California,36.778259,-119.417931,CA
Idaho,44.068203,-114.742043,ID
Wyoming,43.07597,-107.290283,WY
North Carolina,35.782169,-80.793457,NC
Louisiana,30.39183,-92.329102,LA
